QTY,MPN,Value,Manufacturer,Ref. Des.,Description
2,RV16AF-41-15R1-B250K,250kB,Alpha Taiwan,"BASS, TREBLE",250K OHM LINEAR TAPER POTENTIOMETER PCB MOUNT ROUND
1,3362P-1-103LF,10k,Bourns,BRIGHT,TRIMPOT 10K LIN TOP ADJUST
3,MCVVT025M101EA6L,100u,Multicomp,"C1, C2, C4",CAPACITOR ALUM 100UF 25V ±20%
1,TMK316B7106KL-TD,10u,Taiyo Yuden,C3,CAPACITOR MLCC X7R 10u 1206 25V ±10%
2,MCVVT025M100CA1L,10u,Multicomp,"C5, C8",CAPACITOR ALUM 10UF 25V ±20%
5,MC0603B104K500CT,100n,Multicomp,"C6, C7, C9, C10, C11",CAPACITOR MLCC 100NF X7R 0603 50V ±10%
3,GRM31C5C1H104JA01L,100n,Murata,"C12, C15, C18",CAPACITOR MLCC 100NF C0G/NP0 1206 50V ±5%
2,MCVVT025M470EA1L,47u,Multicomp,"C13, C17",CAPACITOR ALUM 47UF 25V ±20%
1,MC0603N221J500CT,220p,Multicomp,C14,CAPACITOR MLCC 220PF C0G/NP0 0603 50V ±5%
1,GCM31M5C1H473JA16L,47n,Murata,C16,CAPACITOR MLCC 47NF C0G/NP0 1206 50V ±5%
1,S1A,S1A,ON Semiconductor,D1,DIODE RECTIFIER 50V 1A SMA
1,1N4148WS,1N4148,ON Semiconductor,D2,DIODE SMALL SIGNAL 75V 150MA SOD
3,B2B-XH-A,B2B-XH-A,JST,"DC, FSW, LED",HEADER XH MALE 1X2 PINS
2,RV16AF-41-15R1-B1M,1MB,Alpha Taiwan,"GAIN, VOLUME",1M OHM LINEAR TAPER POTENTIOMETER PCB MOUNT ROUND
1,ICL7660SCBAZ,ICL7660S,Intersil,IC1,DC DC CHARGE PUMP
2,ACJS-IH,ACJS-IH,Amphenol,"INPUT, OUTPUT",JACK STEREO 6.35MM SWITCHED
1,G6K-2F 5DC,G6K-2F 5DC,Omron,K1,RELAY 5 VDC DPDT 1A NON LATCHING
1,RV16AF-41-15R1-B10K,10kB,Alpha Taiwan,MID,10K OHM LINEAR TAPER POTENTIOMETER PCB MOUNT ROUND
1,418117270901,418117270901,Wurth Elektronik,MODE,SWITC H DIP 1P
1,TLP175A,TLP175A,Toshiba,OK1,MOSFET OUTPUT PHOTOCOUPLER
1,2212S-06SG-85,2212S-06SG-85,Multicomp,PROG,SOCKET FEMALE 1X6 PINS
1,MMBT2222AWT1G,MMBT2222,ON Semiconductor,Q1,TRANSISTOR NPN 40V 0.6A SOT323
2,MMBFJ201,J201,ON Semiconductor,"Q2, Q3",JFET N-CH 25V 350MW SOT23
1,CRCW120647R0FKEA,47R,Multicomp,R1,RESISTOR 47 OHM 1% 1/4W 1206
1,CRCW06031K00FKEA,1k,Multicomp,R2,RESISTOR 1K OHM 1% 1/10W 0603
1,CRCW060320K0FKEA,20k,Multicomp,R3,RESISTOR 20K OHM 1% 1/10W 0603
1,CRCW1206220RFKEA,220R,Multicomp,R4,RESISTOR 220 OHM 1% 1/4W 1206
1,CRCW060310M0FKEA,10M,Multicomp,R5,RESISTOR 10M OHM 1% 1/10W 0603
1,CRCW06031M00FKEA,1M,Multicomp,R6,RESISTOR 1M OHM 1% 1/10W 0603
2,CRCW060339K0FKEA,39k,Multicomp,"R7, R10",RESISTOR 39K OHM 1% 1/10W 0603
2,CRCW060375K0FKEA,75k,Multicomp,"R8, R11",RESISTOR 75K OHM 1% 1/10W 0603
1,CRCW0603100KFKEA,100k,Multicomp,R9,RESISTOR 100K OHM 1% 1/10W 0603
2,TS78L05CXRFG,78L05,Taiwan Semiconductor,"REG1, REG2",LINEAR VOLTAGE REGULATOR 5V 0.1A
1,ATTINY85-20SU,ATTINY85,Atmel,U1,MCU 8BIT AVR 20MHZ
