Ref. Des.,QTY,MPN,Value,Description
ATTACK,1,MTS-103R-A2,SPDT,ON-OFF-ON SPDT 3 POSITION 3A 250VAC MINI TOGGLE SWITCH
BLEND,1,RV16AF-41-15R1-B10K,10kB,10K OHM LINEAR TAPER POTENTIOMETER PCB MOUNT ROUND
BRIGHT,1,3362P-1-103LF,10k,TRIMPOT 10K LIN TOP ADJUST
"C1, C2",2,MCVVT025M101EA6L,100u,CAPACITOR ALUM 100UF 25V ±20%
C3,1,MCVVT025M470EA1L,47u,CAPACITOR ALUM 47UF 25V ±20%
"C4, C5, C7, C8, C10, C11, C12",7,MC0603B104K500CT,100n,CAPACITOR MLCC 100NF X7R 0603 50V ±10%
"C6, C9",2,MCVVT025M100CA1L,10u,CAPACITOR ALUM 10UF 25V ±20%
C13,1,GRM31C5C1H104JA01L,100n,CAPACITOR MLCC 100NF C0G/NP0 1206 50V ±5%
"C14, C16, C22",3,ECP-U1C105MA5,1u,CAPACITOR FILM 1u 1210 16V ±20%
"C15, C18, C20",3,GRM1885C1H103JA01D,10n,CAPACITOR MLCC 10NF C0G/NP0 0603 50V ±5%
C17,1,GRM1885C1H102JA01D,1n,CAPACITOR MLCC 1NF C0G/NP0 0603 50V ±5%
C19,1,TMK316B7106KL-TD,10u,CAPACITOR MLCC X7R 10u 1206 25V ±10%
C21,1,GCM31M5C1H473JA16L,47n,CAPACITOR MLCC 47NF C0G/NP0 1206 50V ±5%
C23,1,EEEFC1H4R7R,4.7u,CAPACITOR ALUM 4.7UF 50V LESR ±20%
D1,1,S1A,S1A,DIODE RECTIFIER 50V 1A SMA
"D2, D3, D4",3,1N4148WS,1N4148,DIODE SMALL SIGNAL 75V 150MA SOD
"DC, FSW, LED",3,B2B-XH-A,B2B-XH-A,HEADER XH MALE 1X2 PINS
IC1,1,LM13700M,LM13700M,DUAL OP TRANSCONDUCT
IC2,1,TL072IDT,TL072IDT,OPAMP DUAL LOW NOISE JFET
"INPUT, OUTPUT",2,ACJS-IH,ACJS-IH,JACK STEREO 6.35MM SWITCHED
K1,1,G6K-2F 5DC,G6K-2F 5DC,RELAY 5 VDC DPDT 1A NON LATCHING
MODE,1,418117270901,418117270901,SWITC H DIP 1P
OK1,1,TLP175A,TLP175A,MOSFET OUTPUT PHOTOCOUPLER
PROG,1,2212S-03SG-85,2212S-03SG-85,HEADER FEMALE 1X3 PINS
Q1,1,MMBT2222AWT1G,MMBT2222,TRANSISTOR NPN 40V 0.6A SOT323
"Q2, Q3, Q4, Q5, Q6",5,MMBT3904LT1G,MMBT3904,TRANS NPN 40V 0.2A SOT23
R1,1,CRCW120647R0FKEA,47R,RESISTOR 47 OHM 1% 1/4W 1206
"R2, R3",2,CRCW120647K0FKEA,47k,RESISTOR 47K OHM 1% 1/4W 1206
R4,1,CRCW1206220RFKEA,220R,RESISTOR 220 OHM 1% 1/4W 1206
R5,1,CRCW060320K0FKEA,20k,RESISTOR 20K OHM 1% 1/10W 0603
"R6, R12, R14",3,CRCW06031K00FKEA,1k,RESISTOR 1K OHM 1% 1/10W 0603
"R7, R9",2,CRCW06032M20FKEA,2.2M,RESISTOR 2.2M OHM 1% 1/10W 0603
"R8, R10, R17, R18, R20, R24",6,CRCW060310K0FKEA,10k,RESISTOR 10K OHM 1% 1/10W 0603
"R11, R19, R23",3,CRCW06031M00FKEA,1M,RESISTOR 1M OHM 1% 1/10W 0603
R13,1,CRCW0603470KFKEA,470k,RESISTOR 470K OHM 1% 1/10W 0603
"R15, R28, R29, R30, R31",5,CRCW060315K0FKEA,15k,RESISTOR 15K OHM 1% 1/10W 0603
"R16, R21",2,CRCW0603150KFKEA,150k,RESISTOR 150K OHM 1% 1/10W 0603
R22,1,CRCW060339K0FKEA,39k,RESISTOR 39K OHM 1% 1/10W 0603
R25,1,CRCW060327K0FKEA,27k,RESISTOR 27K OHM 1% 1/10W 0603
R26,1,CRCW0603100KFKEA,100k,RESISTOR 100K OHM 1% 1/10W 0603
R27,1,CRCW0603120KFKEA,120k,RESISTOR 120K OHM 1% 1/10W 0603
R32,1,CRCW060356K0FKEA,56k,RESISTOR 56K OHM 1% 1/10W 0603
"REG1, REG2",2,TS78L05CXRFG,78L05,LINEAR VOLTAGE REGULATOR 5V 0.1A
SENS,1,RV16AF-41-15R1-C500K,500kC,500K OHM ANTI-LOG TAPER POTENTIOMETER PCB MOUNT ROUND
U1,1,ATTINY202-SSFR,ATTINY202,IC MCU 8BIT 20MHz 2KB
VOL,1,RV16AF-41-15R1-A50K,50kA,50K OHM LOGARITHMIC TAPER POTENTIOMETER PCB MOUNT ROUND
